offset,IA,IB,IC,IN,VA,VB,VC,VN
263,312011,312661,313311,311361,2868728,2867680,2862444,2848828
264,29901,30551,31201,28601,290119,288024,283835,286977
265,-241810,-239859,-239859,-242460,-2181658,-2186895,-2188990,-2168043
266,-516120,-514820,-515470,-516770,-4686952,-4693236,-4693236,-4655531
267,-757929,-755329,-756629,-758579,-6895841,-6904220,-6902125,-6849757
268,-972437,-969187,-970487,-972437,-8847079,-8856505,-8852316,-8788427
269,-1157694,-1154444,-1156394,-1157694,-10541713,-10552187,-10546950,-10471540
270,-1290299,-1287049,-1289649,-1290299,-11755607,-11766081,-11760844,-11676008
271,-1374802,-1371552,-1373502,-1375452,-12532751,-12544272,-12537988,-12447915
272,-1409903,-1406653,-1409253,-1409903,-12849055,-12860576,-12853244,-12762124
273,-1387802,-1384552,-1387152,-1388453,-12658435,-12668908,-12662624,-12572551
274,-1315000,-1311750,-1314350,-1315650,-11998596,-12008022,-12001738,-11914807
275,-1186945,-1183695,-1185645,-1186945,-10825549,-10833928,-10829738,-10751186
276,-1019239,-1016639,-1018589,-1019889,-9293256,-9301635,-9298493,-9230414
277,-813181,-810581,-812531,-813831,-7416381,-7424760,-7422665,-7367155
278,-564872,-563572,-564222,-566172,-5153028,-5158265,-5159313,-5118465
279,-306812,-305512,-305512,-308112,-2798556,-2802745,-2803792,-2779703
280,-37702,-37052,-36402,-39002,-343536,-345630,-347725,-340394
281,247009,247009,248309,246359,2254973,2252878,2248689,2239262
282,508969,508319,509619,507669,4639819,4639819,4632488,4609446
283,750778,750128,752728,749478,6852898,6854993,6846614,6807862
284,975686,975036,976986,974386,8902588,8905731,8896304,8841841
285,1152493,1151193,1153793,1150543,10519718,10523907,10513433,10447449
286,1286398,1284448,1287698,1284448,11745133,11748275,11736754,11664486
287,1375451,1372851,1376751,1373501,12559981,12564171,12551603,12474098
288,1408602,1406652,1409902,1407302,12861622,12865812,12853243,12774691
289,1388452,1386501,1389752,1386501,12682523,12686712,12674144,12596639
290,1312399,1310449,1313699,1310449,11990216,11994405,11982884,11907474
291,1189544,1188244,1190844,1188894,10872679,10875821,10865347,10798316
292,1023138,1021838,1024438,1021838,9354002,9356097,9346671,9290113
293,806680,806680,808630,805380,7382864,7383911,7375533,7332591
294,570071,570071,572021,569421,5226343,5226343,5220059,5190733
295,299661,299661,300961,298361,2755613,2753518,2749328,2736760
296,29901,31201,31201,29251,294309,291167,288024,292214
297,-241160,-239209,-239859,-241810,-2175374,-2180611,-2181658,-2161759
298,-516120,-513520,-514170,-516120,-4681715,-4687999,-4687999,-4650294
299,-757929,-755329,-756629,-757929,-6891652,-6900031,-6896889,-6845568
300,-971787,-969187,-970487,-972437,-8844984,-8853363,-8850221,-8785285
301,-1157694,-1153794,-1156394,-1157044,-10538571,-10546950,-10542761,-10468398
302,-1289649,-1287049,-1288999,-1290299,-11757702,-11768176,-11761892,-11679150
303,-1374802,-1371552,-1373502,-1374802,-12534846,-12545319,-12540083,-12450009
304,-1409903,-1406003,-1408603,-1409253,-12849055,-12859528,-12854292,-12762124
305,-1387802,-1384552,-1387152,-1387802,-12660529,-12672050,-12665766,-12574646
306,-1315650,-1312400,-1315000,-1315650,-11998596,-12010117,-12004880,-11917949
307,-1186945,-1184345,-1186295,-1187595,-10828691,-10838117,-10833928,-10755375
308,-1019889,-1017289,-1018589,-1019889,-9295351,-9303730,-9300588,-9233556
309,-813831,-811881,-812531,-813831,-7420570,-7427902,-7425807,-7370297
310,-566172,-564222,-564872,-566172,-5160360,-5165597,-5164549,-5125797
311,-307462,-306162,-306162,-308112,-2801698,-2805887,-2807982,-2782845
312,-38352,-37702,-37052,-39002,-345630,-347725,-350867,-342488
313,246359,246359,247659,245709,2250783,2248689,2243452,2234026
314,507669,507669,509619,506368,4636677,4636677,4630393,4605256
315,750128,750128,751428,749478,6848709,6850804,6842425,6802625
316,975686,974386,976986,973736,8900494,8902588,8893162,8839747
